21,738,0,0,4,2,2,0,M S,516
14,904,0,0,5,11,1,0,D M S,517
2,9,0,0,0,0,0,0,S,518
1,5,0,0,0,0,0,0,S,519
26,1842,0,2,26,7,5,0,M S,520
2,180,0,0,0,0,0,0,GK,521
1,6,0,0,0,0,0,0,S,522
1,1,0,0,0,0,0,0,S,523
5,144,0,0,0,0,0,0,D S,524
1,1,0,0,0,0,0,0,S,525
1,7,0,0,0,0,0,0,S,526
1,9,0,0,0,0,0,0,S,527
3,23,0,0,1,0,0,0,S,528
2,20,0,0,0,0,0,0,S,529
2,15,0,0,1,1,0,0,S,530
1,20,0,0,0,0,0,0,S,531
3,30,0,0,0,1,0,0,S,532
1,1,0,0,0,0,0,0,S,533
1,1,0,0,0,0,0,0,S,534
6,173,0,0,7,1,1,0,M S,535
3,65,0,0,3,3,0,0,F S,536
1,3,0,0,0,0,0,0,S,537
15,654,0,2,14,10,1,0,F M S,538
18,1559,0,2,20,20,3,0,M,539
5,373,0,0,1,4,1,0,D S,540
11,390,0,0,11,4,0,0,F S,541
2,180,0,0,0,0,0,0,GK,542
12,103,0,0,7,1,1,0,S,543
12,902,0,1,3,7,2,0,D S,544
1,17,0,0,0,0,0,0,S,545
3,59,0,0,1,2,0,0,M S,546
1,10,0,0,1,0,0,0,S,547
5,290,0,0,0,0,0,0,D S,548
1,1,0,0,0,0,0,0,S,549
1,1,0,0,1,0,0,0,S,550
1,1,0,0,0,0,0,0,S,551
2,17,0,0,0,0,0,0,S,552
1,26,0,0,0,0,0,0,S,553
1,1,0,0,0,1,0,0,S,554
